UserId,Bin,Qty,ZoneCode,PickDate
twilkinson,AA04402,1,1,12/1/17 10:40:38
twilkinson,AC06101,1,FLOOR,12/1/17 10:41:16
twilkinson,AC06101,1,FLOOR,12/1/17 10:41:33
twilkinson,AC06101,2,FLOOR,12/1/17 10:41:46
twilkinson,AC12102,2,FLOOR,12/1/17 10:42:14
twilkinson,AC07401,1,3,12/1/17 10:43:06
twilkinson,AC02102,2,FLOOR,12/1/17 10:44:40
twilkinson,AC02103,1,FLOOR,12/1/17 10:44:12
HARREDONDO,AR16403,1,18,12/1/17 10:46:36
HARREDONDO,AR06103,1,FLOOR,12/1/17 10:47:47
HARREDONDO,AA08102,4,FLOOR,12/1/17 10:50:38
HARREDONDO,AA06501,1,1,12/1/17 10:49:33
HARREDONDO,AA08102,1,FLOOR,12/1/17 10:49:06
HARREDONDO,AD12103,1,FLOOR,12/1/17 10:44:43
HARREDONDO,AD01102,2,FLOOR,12/1/17 10:43:33
HARREDONDO,AD01102,2,FLOOR,12/1/17 10:43:43
HARREDONDO,AD01102,1,FLOOR,12/1/17 10:43:57
HARREDONDO,AF03202,2,6,12/1/17 10:56:46
HARREDONDO,AB04401,3,2,12/1/17 10:55:57
HARREDONDO,AD12102,2,FLOOR,12/1/17 10:54:05
HARREDONDO,AD11102,1,FLOOR,12/1/17 10:53:31
HARREDONDO,AD06103,1,FLOOR,12/1/17 10:52:10
HARREDONDO,AD07103,2,FLOOR,12/1/17 10:52:40
HARREDONDO,AD03101,1,FLOOR,12/1/17 10:51:35
HARREDONDO,AF17303,1,6,12/1/17 10:58:56
HARREDONDO,AF01101,2,FLOOR,12/1/17 10:57:49
HARREDONDO,AF08203,2,6,12/1/17 11:05:43
HARREDONDO,AU03401,4,21,12/1/17 11:07:16
twilkinson,AF07101,3,FLOOR,12/1/17 11:08:03
twilkinson,AD08101,4,FLOOR,12/1/17 11:07:29
twilkinson,AH18302,3,8,12/1/17 11:08:53
twilkinson,AA12401,3,1,12/1/17 11:06:36
twilkinson,AK03103,1,FLOOR,12/1/17 11:02:42
twilkinson,AK02101,1,FLOOR,12/1/17 11:02:12
twilkinson,AJ03203,1,10,12/1/17 11:01:41
twilkinson,AK16303,1,11,12/1/17 11:00:06
twilkinson,AC02102,4,FLOOR,12/1/17 10:46:34
twilkinson,AD04203,2,4,12/1/17 10:49:19
twilkinson,AR06401,1,18,12/1/17 10:48:32
twilkinson,AC07401,4,3,12/1/17 10:47:44
Mcuevas,AA08102,7,FLOOR,12/1/17 10:49:57
Mcuevas,AD03101,1,FLOOR,12/1/17 10:51:03
